component,source,scope,rmse,mae,rfne,acc,bias,p99_abs_error_mean,p99_abs_error_max,max_abs_error,psnr_global,psnr_mean,ssim_mean,peak_ratio_mean,count
XYZ,Interp,all,0.02686144809525442,0.007675918092280193,1.0471504435953167,0.310581660577523,3.4391985257964986e-07,0.07864197528352508,0.18479241289198312,13.36616325378418,54.74012224161169,33.663660887476986,nan,0.8579937000176472,108000000
XYZ,Interp,observed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999969426,27000000
XYZ,Interp,missing,0.031016928577236598,0.01023455745637359,1.2080615095284764,-0.03245183422680411,4.585598034395352e-07,0.09368887263610307,0.2251522120088338,13.36616325378418,53.49073487552869,32.109079776176,nan,0.6500058256754879,81000000
XYZ,Interp,active_missing,0.038514418330764334,0.015440277804132586,1.207628866473224,-0.03266654558970865,-2.7051110341890193e-07,0.2955810297151078,11.988514184951782,13.36616325378418,51.61024381034145,28.791141955382884,nan,0.6499693008607568,52466865
XYZ,XYZ-joint ResShift,all,0.01005332467645412,0.004428571372661118,0.39191272775858016,0.920535197287727,-6.38909742516379e-05,0.035511916066735,0.07154033847153143,7.387208461761475,63.27651650526953,41.14424318733953,nan,0.9723986188807638,108000000
XYZ,XYZ-joint ResShift,observed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999969426,27000000
XYZ,XYZ-joint ResShift,missing,0.011608579416402988,0.0059047618302148245,0.4521362564426559,0.8929567006192385,-8.518796566885054e-05,0.03957859206679819,0.0862526562809934,7.387208461761475,62.02712913918653,39.58966207603855,nan,0.9603602066977593,81000000
XYZ,XYZ-joint ResShift,active_missing,0.014345200857020159,0.008405400332288033,0.4497972292224977,0.8940438894327202,-7.650594548173488e-05,0.09877175749562556,7.311959981918335,7.387208461761475,60.18857800584354,36.31719298106916,nan,0.9603602066977593,52466865
Vx,Interp,all,0.019306381626874772,0.005838220150629722,1.0465509324618671,0.3109888825123788,8.006262807347108e-06,0.057651449505665746,0.14336584389209703,3.796002209186554,51.47182708329501,30.32165814748963,0.6900085277551579,0.8439397434801379,36000000
Vx,Interp,observed,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999937813,9000000
Vx,Interp,missing,0.02229308925870759,0.007784293534172963,1.2069993133771317,-0.031365466803666496,1.0675017076462808e-05,0.06819744813481977,0.17374630153179138,3.796002209186554,50.22243971721201,28.747957040970856,nan,0.642379336296912,27000000
Vx,Interp,active_missing,0.03626594106438784,0.017333128417887495,1.1951607730198304,-0.0338535265524635,2.5362474510210833e-05,0.2306378941981948,3.6927703583240508,3.796002209186554,45.99586578608144,23.43214089900836,nan,0.6411938853545242,9933693
Vx,XYZ-joint ResShift,all,0.00828078114252925,0.00363171770299419,0.44888055119365666,0.8936840505435509,-0.000204228913024664,0.02935303976306333,0.06325104299932718,4.249509572982788,58.82441868342361,36.56537382792719,0.8353833880928733,0.9232877680336729,36000000
Vx,XYZ-joint ResShift,observed,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999937813,9000000
Vx,XYZ-joint ResShift,missing,0.00956182244347928,0.00484229027065892,0.5176991394050794,0.8557464024231862,-0.0002723052173662187,0.032687044125720835,0.07302703872323012,4.249509572982788,57.57503131734061,34.991672721408435,nan,0.8800899847574626,27000000
Vx,XYZ-joint ResShift,active_missing,0.01502470316871727,0.009626455438255351,0.4951460054941424,0.8688282468719359,-9.304944409157109e-05,0.08445913652899519,4.057344160079955,4.249509572982788,53.649726800109704,29.915317254080783,nan,0.8800899847574626,9933693
Vy,Interp,all,0.020008523688335788,0.006621631501142827,1.027819742447487,0.3395249726811869,-5.197238611519192e-06,0.06457064613847162,0.15092694565653758,5.3279178738594055,54.14323948510841,31.00675560480313,0.7191144442641838,0.8428065106212412,36000000
Vy,Interp,observed,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999948769,9000000
Vy,Interp,missing,0.02310385307509534,0.008828842001523769,1.1872467544080036,0.011120626245471126,-6.92965148202559e-06,0.07579036707687493,0.1825915332138508,5.3279178738594055,52.6499825355907,29.440703697996604,nan,0.6416866680057464,27000000
Vy,Interp,active_missing,0.035672167793299965,0.018181443809641974,1.174792285501843,0.010469349361434208,-1.811372093290607e-05,0.2258518179443363,5.323457374572754,5.3279178738594055,48.87708077390084,24.41421364118485,nan,0.640919055034885,11022887
Vy,XYZ-joint ResShift,all,0.008694568617754231,0.004044742438201923,0.44663211622163657,0.895442666518823,-0.0006272898085043564,0.03085547465618785,0.06267387099564053,7.387208461761475,61.38257961477084,37.73189672162554,0.855963707842283,0.9516136890740579,36000000
Vy,XYZ-joint ResShift,observed,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999948769,9000000
Vy,XYZ-joint ResShift,missing,0.010039623063896157,0.005392989917602565,0.5159100457983353,0.858062648527127,-0.0008363864113391418,0.03423645023168348,0.07617084365338082,7.387208461761475,59.88932266525313,36.165844814819,nan,0.9309536910694167,27000000
Vy,XYZ-joint ResShift,active_missing,0.014878934491544716,0.009627428118813714,0.4900082764366534,0.8720198697111583,-0.0009264767748024149,0.08160577475444876,6.879027814865108,7.387208461761475,56.472234183573484,31.477320938303663,nan,0.9306246598762675,11022887
Vz,Interp,all,0.03730328121778187,0.010567902625068083,1.05308043187412,0.3016730998264924,-1.7772646380889666e-06,0.11150234298993557,0.2829527564346759,13.36616325378418,51.228083397390506,31.00361098624545,0.7384338517947626,0.8531893873435632,36000000
Vz,Interp,observed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999968758,9000000
Vz,Interp,missing,0.04307411890548535,0.01409053683342411,1.2145449813027926,-0.045995120650651575,-2.3696861841186263e-06,0.13586977874225561,0.35288164243101855,13.36616325378418,49.71779602721906,29.43818144967789,nan,0.6478490413255887,27000000
Vz,Interp,active_missing,0.06074870640537843,0.02559092044564146,1.2081011119056189,-0.04732975981306514,-8.246589438780412e-06,0.4189764183443708,12.980421514511107,13.36616325378418,46.73138339048628,25.173038591593322,nan,0.6468718929597014,13411603
Vz,XYZ-joint ResShift,all,0.012611151865364992,0.0056092539767872394,0.3560157932294185,0.9351220840240762,0.0006398457987741055,0.04377671600807268,0.0997805008292196,7.236711502075195,60.64792897174794,39.16411472400982,0.8867950193017722,0.9738643407421701,36000000
Vz,XYZ-joint ResShift,observed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999968758,9000000
Vz,XYZ-joint ResShift,missing,0.014562103848519458,0.007479005302382985,0.41060225016412577,0.9130034623130601,0.0008531277316988073,0.04877981527941155,0.11776776812970532,7.236711502075195,59.13764160157649,37.598685187442264,nan,0.9624603187387265,27000000
Vz,XYZ-joint ResShift,active_missing,0.019865891068222088,0.01193726045138687,0.39507022467872915,0.9192870558880092,0.0008372913828290885,0.12020629901295758,6.980404968261718,7.236711502075195,56.43996308385151,33.62009656277625,nan,0.9623737585822213,13411603
Vz,Single-Vz ResShift200ep,all,0.01582851819561034,0.006834867594456227,0.44684280398945186,0.8970836615916764,0.0004958513759144901,0.054185754878489784,0.12406182859092943,10.667669296264648,58.67421888689131,37.263105879273986,0.8563514642840953,0.9718955673385398,36000000
Vz,Single-Vz ResShift200ep,observed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999968758,9000000
Vz,Single-Vz ResShift200ep,missing,0.01827719848221704,0.009113156792608303,0.5153553979260809,0.8616535318636157,0.0006611351678859869,0.060523222989022615,0.14717034437693555,10.667669296264648,57.16393151671986,35.69767634270642,nan,0.9573243483033239,27000000
Vz,Single-Vz ResShift200ep,active_missing,0.024885156389098363,0.014107311007776126,0.49488765905562115,0.8716846567019986,0.0006926977200553412,0.15876619119952273,9.813539133071895,10.667669296264648,54.48331659119641,31.772754771725072,nan,0.9572065361007367,13411603
